country_co,country_na,mean,month
AG,Algeria,7.378871975442783e-05,2019-05
ML,Mali,0.000123556927609,2019-05
UV,Burkina Faso,0.0001992906732259,2019-05
TO,Togo,0.0001691301342955,2019-05
GH,Ghana,0.0001690300205584,2019-05
IV,Cote d'Ivoire,0.0001575613392821,2019-05
GV,Guinea,0.0002174040907085,2019-05
SG,Senegal,0.0001630930318266,2019-05
GA,"Gambia, The",0.0001786864175315,2019-05
PU,Guinea-Bissau,0.0002412394085994,2019-05
SL,Sierra Leone,0.0001731293184933,2019-05
LI,Liberia,0.0001291085019436,2019-05
BN,Benin,0.0001830249628821,2019-05
NI,Nigeria,0.0001921710255568,2019-05
CM,Cameroon,0.0001557771626675,2019-05
EK,Equatorial Guinea,0.0001164597869233,2019-05
TP,Sao Tome & Principe,0.0001096358152224,2019-05
GB,Gabon,0.0001283842927522,2019-05
CF,Rep of the Congo,0.0001534716692306,2019-05
CT,Central African Rep,0.0001877383005197,2019-05
CG,Dem Rep of the Congo,0.0001818069939038,2019-05
CD,Chad,0.0001235389003648,2019-06
MI,Malawi,9.295409082053264e-05,2019-06
ZA,Zambia,0.0001458731573558,2019-06
ZI,Zimbabwe,9.878269509067038e-05,2019-06
BC,Botswana,9.821571183677389e-05,2019-06
WA,Namibia,9.813728835920868e-05,2019-06
AO,Angola,0.0002154707674577,2019-06
BY,Burundi,0.0001508805326255,2019-06
RW,Rwanda,0.0001385254799794,2019-06
SF,South Africa,8.508520185129889e-05,2019-06
LT,Lesotho,8.096266559793277e-05,2019-06
WZ,Swaziland,0.0001326537872659,2019-06
MF,Mayotte,5.567153761914927e-05,2019-06
NG,Niger,0.00011250188425,2019-06
SU,Sudan,0.0001246112643796,2019-06
LY,Libya,8.389739331761643e-05,2019-06
UU,Koualou Area,0.0001372345712039,2019-06
TS,Tunisia,0.0001091610222625,2019-06
EG,Egypt,0.0001071398028059,2019-06
EG,Bir Tawil,9.622717123107294e-05,2019-06
SU,Halaib Triangle,9.445840618431506e-05,2019-06
ER,Eritrea,0.0001223323570845,2019-06
ET,Ethiopia,9.816051703318688e-05,2019-06
DJ,Djibouti,0.0001205208988605,2019-06
SO,Somalia,9.045552953153528e-05,2019-06
OD,South Sudan,0.0001306663694635,2019-06
UU,Abyei Area,0.0001490607583136,2019-06
KE,Kenya,0.0001024183697422,2019-06
UG,Uganda,0.0001168993282831,2019-06
TZ,Tanzania,0.0001368393410655,2019-06
MZ,Mozambique,7.017744746182904e-05,2019-06
CN,Comoros,6.024690947411521e-05,2019-06
MA,Madagascar,7.918736324821714e-05,2019-06
CV,Cabo Verde,6.216577707599826e-05,2019-06
WI,Western Sahara,7.054424294152858e-05,2019-06
MR,Mauritania,8.617142013129435e-05,2019-06
MO,Morocco,0.0001031731490667,2019-06
SP,Spain (Canary Is),7.177828980498602e-05,2019-06
PO,Portugal (Madeira Is),6.53093671381351e-05,2019-06
SP,Spain (Africa),0.0001137422907928,2019-06
AG,Algeria,8.482352020083136e-05,2019-06
ML,Mali,0.0001273859843952,2019-06
UV,Burkina Faso,0.0001614052756107,2019-06
TO,Togo,0.000115344349541,2019-06
GH,Ghana,0.0001075175741852,2019-06
IV,Cote d'Ivoire,9.855454660840096e-05,2019-06
GV,Guinea,0.0001552671760333,2019-06
SG,Senegal,0.0001604847707239,2019-06
GA,"Gambia, The",0.0001755748509754,2019-06
PU,Guinea-Bissau,0.0001942693710673,2019-06
SL,Sierra Leone,0.0001166591508795,2019-06
LI,Liberia,8.33361427595962e-05,2019-06
BN,Benin,0.0001291712945861,2019-06
NI,Nigeria,0.0001378430076901,2019-06
CM,Cameroon,0.0001073998916888,2019-06
EK,Equatorial Guinea,8.946640977974483e-05,2019-06
TP,Sao Tome & Principe,8.068890370028437e-05,2019-06
GB,Gabon,0.0001179306594502,2019-06
CF,Rep of the Congo,0.0001749201288593,2019-06
CT,Central African Rep,0.0001340042938951,2019-06
CG,Dem Rep of the Congo,0.000206760852146,2019-06
CD,Chad,0.0001135427830647,2019-07
MI,Malawi,0.00012845482074,2019-07
ZA,Zambia,0.0001729219245508,2019-07
ZI,Zimbabwe,0.0001226322747949,2019-07
BC,Botswana,9.779038040829446e-05,2019-07
WA,Namibia,9.682433006981608e-05,2019-07
AO,Angola,0.0002271986023993,2019-07
BY,Burundi,0.0001652477551577,2019-07
RW,Rwanda,0.0001614963438782,2019-07
SF,South Africa,8.644532030525731e-05,2019-07
LT,Lesotho,9.007244512250208e-05,2019-07
WZ,Swaziland,0.0001619325357729,2019-07
MF,Mayotte,6.65920635553724e-05,2019-07
NG,Niger,0.0001133258807191,2019-07
SU,Sudan,0.0001162010523333,2019-07
LY,Libya,9.826538420243877e-05,2019-07
UU,Koualou Area,0.0001093956524557,2019-07
TS,Tunisia,0.0001404648300561,2019-07
EG,Egypt,0.0001187516135919,2019-07
EG,Bir Tawil,0.0001109150160374,2019-07
SU,Halaib Triangle,0.0001047475074648,2019-07
ER,Eritrea,0.0001131214881107,2019-07
ET,Ethiopia,8.87424337728736e-05,2019-07
DJ,Djibouti,0.0001157109479497,2019-07
SO,Somalia,8.366378406379988e-05,2019-07
OD,South Sudan,0.0001093692520756,2019-07
UU,Abyei Area,0.0001285243257841,2019-07
KE,Kenya,9.470942079767626e-05,2019-07
UG,Uganda,0.0001166222276937,2019-07
TZ,Tanzania,0.0001422309545159,2019-07
MZ,Mozambique,0.0001042789004572,2019-07
CN,Comoros,6.591678936913326e-05,2019-07
MA,Madagascar,9.361966782087168e-05,2019-07
CV,Cabo Verde,7.446558114828215e-05,2019-07
WI,Western Sahara,8.307226725583964e-05,2019-07
MR,Mauritania,0.0001012069463247,2019-07
MO,Morocco,0.0001200775440417,2019-07
SP,Spain (Canary Is),7.901799670595535e-05,2019-07
PO,Portugal (Madeira Is),6.838020655418277e-05,2019-07
SP,Spain (Africa),0.0001503701580339,2019-07
AG,Algeria,0.0001006406738764,2019-07
ML,Mali,0.000117521282535,2019-07
UV,Burkina Faso,0.0001194119570753,2019-07
TO,Togo,9.869046516629018e-05,2019-07
GH,Ghana,9.43224431862195e-05,2019-07
IV,Cote d'Ivoire,8.6538816078522e-05,2019-07
GV,Guinea,0.0001008173821905,2019-07
SG,Senegal,0.0001422513174272,2019-07
GA,"Gambia, The",0.0001434354935539,2019-07
PU,Guinea-Bissau,0.0001221287045038,2019-07
SL,Sierra Leone,7.071322204995842e-05,2019-07
LI,Liberia,6.843344018966864e-05,2019-07
BN,Benin,0.0001074827989194,2019-07
NI,Nigeria,0.0001147196273784,2019-07
CM,Cameroon,0.0001012350043662,2019-07
EK,Equatorial Guinea,8.548637453258726e-05,2019-07
TP,Sao Tome & Principe,9.79681678113046e-05,2019-07
GB,Gabon,0.0001131433285704,2019-07
CF,Rep of the Congo,0.0001576447556223,2019-07
CT,Central African Rep,0.0001162187539042,2019-07
CG,Dem Rep of the Congo,0.0002022337651613,2019-07
CD,Chad,9.664105961608611e-05,2019-08
MI,Malawi,0.0001609298429658,2019-08
ZA,Zambia,0.0002049009558398,2019-08
ZI,Zimbabwe,0.0001444837484839,2019-08
BC,Botswana,0.0001245545592396,2019-08
WA,Namibia,0.0001079784052809,2019-08
AO,Angola,0.000232558505102,2019-08
BY,Burundi,0.0001627977790829,2019-08
RW,Rwanda,0.0001417322005815,2019-08
SF,South Africa,9.651240486285972e-05,2019-08
LT,Lesotho,9.982526197455982e-05,2019-08
WZ,Swaziland,0.0001698532069986,2019-08
MF,Mayotte,7.635718802838624e-05,2019-08
NG,Niger,0.0001028608326534,2019-08
SU,Sudan,0.0001072212207733,2019-08
LY,Libya,9.606250209606636e-05,2019-08
UU,Koualou Area,7.450324109846286e-05,2019-08
TS,Tunisia,0.0001264418504734,2019-08
EG,Egypt,0.0001146394574972,2019-08
EG,Bir Tawil,0.0001046081316701,2019-08
SU,Halaib Triangle,0.000106500471299,2019-08
ER,Eritrea,0.0001012355619274,2019-08
ET,Ethiopia,8.266422040577843e-05,2019-08
DJ,Djibouti,0.0001100720739513,2019-08
SO,Somalia,8.016571679835192e-05,2019-08
OD,South Sudan,9.553509347953946e-05,2019-08
UU,Abyei Area,9.514759514685396e-05,2019-08
