abbreviati,country_co,country_na,mean,wld_rgn,month
C. d Iv.,IV,Cote d'Ivoire,1900.4359365216424,Africa,2021-03
Gui.,GV,Guinea,1894.3391595616636,Africa,2021-03
Sen.,SG,Senegal,1905.6076848634382,Africa,2021-03
Gam.,GA,"Gambia, The",1908.4668041100124,Africa,2021-03
Gui.-Bis.,PU,Guinea-Bissau,1889.263079693845,Africa,2021-03
S. Leo.,SL,Sierra Leone,1878.986412612158,Africa,2021-03
Liber.,LI,Liberia,1860.549199327771,Africa,2021-03
,BN,Benin,1907.56296387728,Africa,2021-03
Nig.,NI,Nigeria,1916.3109234321441,Africa,2021-03
Camer.,CM,Cameroon,1901.4016916257312,Africa,2021-03
Equa. Gui.,EK,Equatorial Guinea,,Africa,2021-03
S. To. & Prin.,TP,Sao Tome & Principe,,Africa,2021-03
,GB,Gabon,1851.9381869629492,Africa,2021-03
Rep. of the Congo,CF,Rep of the Congo,1869.208496222572,Africa,2021-03
Cen. Afr. Rep.,CT,Central African Rep,1889.4955437277422,Africa,2021-03
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,1871.7518820164896,Africa,2021-03
,CD,Chad,1895.9815819066043,Africa,2021-04
Mal.,MI,Malawi,1850.151844450492,Africa,2021-04
Zam.,ZA,Zambia,1844.3125553185732,Africa,2021-04
Zimb.,ZI,Zimbabwe,1845.0129104851017,Africa,2021-04
Bots.,BC,Botswana,1840.5985088493464,Africa,2021-04
Nam.,WA,Namibia,1856.2780246226243,Africa,2021-04
Ang.,AO,Angola,1855.0172426574272,Africa,2021-04
Buru.,BY,Burundi,1863.354716755504,Africa,2021-04
Rw.,RW,Rwanda,1858.780518053033,Africa,2021-04
S. Afr.,SF,South Africa,1836.699333238901,Africa,2021-04
Leso.,LT,Lesotho,1834.5994952913143,Africa,2021-04
Swaz.,WZ,Swaziland,1825.9574748135126,Africa,2021-04
May.,MF,Mayotte,,Africa,2021-04
,NG,Niger,1892.0466230158543,Africa,2021-04
,SU,Sudan,1899.7453394026804,Africa,2021-04
,LY,Libya,1890.2104234629924,Africa,2021-04
,UU,Koualou Area,1927.2347069784703,Africa,2021-04
Tun.,TS,Tunisia,1901.6079792207815,Africa,2021-04
,EG,Egypt,1890.8487227569253,Africa,2021-04
,EG,Bir Tawil,1893.8544257553258,Africa,2021-04
,SU,Halaib Triangle,1902.120468095621,Africa,2021-04
Erit.,ER,Eritrea,1897.8533625524813,Africa,2021-04
Eth.,ET,Ethiopia,1891.9206703232414,Africa,2021-04
Dji.,DJ,Djibouti,1899.826980898698,Africa,2021-04
Som.,SO,Somalia,1905.6572280932,Africa,2021-04
S. Sudan,OD,South Sudan,1908.6519202104453,Africa,2021-04
,UU,Abyei Area,1915.366796659615,Africa,2021-04
,KE,Kenya,1858.7732878275515,Africa,2021-04
Ug.,UG,Uganda,1874.3000482906396,Africa,2021-04
Tanz.,TZ,Tanzania,1834.2790971630536,Africa,2021-04
Moz.,MZ,Mozambique,1824.4572893269499,Africa,2021-04
Como.,CN,Comoros,,Africa,2021-04
Madag.,MA,Madagascar,1844.6520130968904,Africa,2021-04
C. Ver.,CV,Cabo Verde,,Africa,2021-04
W. Sah.,WI,Western Sahara,1903.1044047224916,Africa,2021-04
Maur.,MR,Mauritania,1895.7695636851718,Africa,2021-04
Mor.,MO,Morocco,1891.0440051539783,Africa,2021-04
Sp.,SP,Spain (Canary Is),,Africa,2021-04
Port.,PO,Portugal (Madeira Is),,Africa,2021-04
Sp.,SP,Spain (Africa),,Africa,2021-04
Alg.,AG,Algeria,1891.4937868989632,Africa,2021-04
,ML,Mali,1892.1908112377685,Africa,2021-04
Burk.,UV,Burkina Faso,1905.446341438552,Africa,2021-04
,TO,Togo,1900.4455668682906,Africa,2021-04
,GH,Ghana,1900.8870342308312,Africa,2021-04
C. d Iv.,IV,Cote d'Ivoire,1887.9675682652546,Africa,2021-04
Gui.,GV,Guinea,1885.8457806848987,Africa,2021-04
Sen.,SG,Senegal,1900.3894560078602,Africa,2021-04
Gam.,GA,"Gambia, The",1899.476883677772,Africa,2021-04
Gui.-Bis.,PU,Guinea-Bissau,1886.6068163048697,Africa,2021-04
S. Leo.,SL,Sierra Leone,1867.984965186469,Africa,2021-04
Liber.,LI,Liberia,1864.4394365989685,Africa,2021-04
,BN,Benin,1902.8245212059974,Africa,2021-04
Nig.,NI,Nigeria,1912.2065464174837,Africa,2021-04
Camer.,CM,Cameroon,1899.700931904236,Africa,2021-04
Equa. Gui.,EK,Equatorial Guinea,,Africa,2021-04
S. To. & Prin.,TP,Sao Tome & Principe,,Africa,2021-04
,GB,Gabon,1866.3660958943146,Africa,2021-04
Rep. of the Congo,CF,Rep of the Congo,1872.8481449058986,Africa,2021-04
Cen. Afr. Rep.,CT,Central African Rep,1884.7394171476906,Africa,2021-04
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,1857.0447774051504,Africa,2021-04
,CD,Chad,1892.1921629617227,Africa,2021-05
Mal.,MI,Malawi,1849.3886972641983,Africa,2021-05
Zam.,ZA,Zambia,1841.0843812091584,Africa,2021-05
Zimb.,ZI,Zimbabwe,1845.8890515664725,Africa,2021-05
Bots.,BC,Botswana,1842.7984482986426,Africa,2021-05
Nam.,WA,Namibia,1856.8917469490402,Africa,2021-05
Ang.,AO,Angola,1847.968189512518,Africa,2021-05
Buru.,BY,Burundi,1864.2374480384422,Africa,2021-05
Rw.,RW,Rwanda,,Africa,2021-05
S. Afr.,SF,South Africa,1840.499090974368,Africa,2021-05
Leso.,LT,Lesotho,1842.2971255185591,Africa,2021-05
Swaz.,WZ,Swaziland,1833.4359625149068,Africa,2021-05
May.,MF,Mayotte,,Africa,2021-05
,NG,Niger,1891.551856673127,Africa,2021-05
,SU,Sudan,1900.231376204788,Africa,2021-05
,LY,Libya,1889.0634088878955,Africa,2021-05
,UU,Koualou Area,1902.9646388312606,Africa,2021-05
Tun.,TS,Tunisia,1903.2516346067903,Africa,2021-05
,EG,Egypt,1893.1777592773892,Africa,2021-05
,EG,Bir Tawil,1893.2660587957066,Africa,2021-05
,SU,Halaib Triangle,1901.6891264139886,Africa,2021-05
Erit.,ER,Eritrea,1902.7942735712609,Africa,2021-05
Eth.,ET,Ethiopia,1879.4602280781294,Africa,2021-05
Dji.,DJ,Djibouti,1899.5867358261426,Africa,2021-05
Som.,SO,Somalia,1888.6325599759962,Africa,2021-05
S. Sudan,OD,South Sudan,1873.6538908834737,Africa,2021-05
,UU,Abyei Area,1903.8961884962216,Africa,2021-05
,KE,Kenya,1861.2182002904367,Africa,2021-05
Ug.,UG,Uganda,1851.517187908821,Africa,2021-05
Tanz.,TZ,Tanzania,1845.522802563542,Africa,2021-05
Moz.,MZ,Mozambique,1830.4105315832778,Africa,2021-05
Como.,CN,Comoros,,Africa,2021-05
Madag.,MA,Madagascar,1842.114010856487,Africa,2021-05
C. Ver.,CV,Cabo Verde,,Africa,2021-05
W. Sah.,WI,Western Sahara,1904.8216460936435,Africa,2021-05
Maur.,MR,Mauritania,1907.2653139808442,Africa,2021-05
Mor.,MO,Morocco,1892.0947059252035,Africa,2021-05
Sp.,SP,Spain (Canary Is),,Africa,2021-05
Port.,PO,Portugal (Madeira Is),,Africa,2021-05
Sp.,SP,Spain (Africa),,Africa,2021-05
Alg.,AG,Algeria,1896.4859138078752,Africa,2021-05
,ML,Mali,1904.261831559581,Africa,2021-05
Burk.,UV,Burkina Faso,1892.3194709732627,Africa,2021-05
,TO,Togo,1881.5121709717557,Africa,2021-05
,GH,Ghana,1886.3334011532118,Africa,2021-05
C. d Iv.,IV,Cote d'Ivoire,1881.0587795580827,Africa,2021-05
Gui.,GV,Guinea,1883.0896659885043,Africa,2021-05
Sen.,SG,Senegal,1910.8291400939252,Africa,2021-05
Gam.,GA,"Gambia, The",1910.055094408791,Africa,2021-05
Gui.-Bis.,PU,Guinea-Bissau,1887.0064083229838,Africa,2021-05
S. Leo.,SL,Sierra Leone,1864.7814368102847,Africa,2021-05
Liber.,LI,Liberia,,Africa,2021-05
,BN,Benin,1882.3459754538003,Africa,2021-05
Nig.,NI,Nigeria,1900.3453498563347,Africa,2021-05
Camer.,CM,Cameroon,1890.4046295980374,Africa,2021-05
Equa. Gui.,EK,Equatorial Guinea,,Africa,2021-05
S. To. & Prin.,TP,Sao Tome & Principe,,Africa,2021-05
,GB,Gabon,1823.6899392638802,Africa,2021-05
Rep. of the Congo,CF,Rep of the Congo,1851.8901421431553,Africa,2021-05
Cen. Afr. Rep.,CT,Central African Rep,1867.0514095950923,Africa,2021-05
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,1844.3207786210612,Africa,2021-05
,CD,Chad,1900.3808444298024,Africa,2021-06
Mal.,MI,Malawi,1856.0317272090476,Africa,2021-06
Zam.,ZA,Zambia,1844.2544877923792,Africa,2021-06
Zimb.,ZI,Zimbabwe,1848.4534232636224,Africa,2021-06
Bots.,BC,Botswana,1843.8057376411844,Africa,2021-06
Nam.,WA,Namibia,1856.9348756002894,Africa,2021-06
Ang.,AO,Angola,1848.982476393053,Africa,2021-06
Buru.,BY,Burundi,1864.8319460060145,Africa,2021-06
Rw.,RW,Rwanda,,Africa,2021-06
S. Afr.,SF,South Africa,1839.9456231950837,Africa,2021-06
Leso.,LT,Lesotho,1838.463778920624,Africa,2021-06
Swaz.,WZ,Swaziland,1831.380376714563,Africa,2021-06
May.,MF,Mayotte,,Africa,2021-06
,NG,Niger,1904.623732400309,Africa,2021-06
,SU,Sudan,1902.8603905881278,Africa,2021-06
,LY,Libya,1895.6101724075982,Africa,2021-06
,UU,Koualou Area,1904.6559767522485,Africa,2021-06
Tun.,TS,Tunisia,1904.214188398349,Africa,2021-06
,EG,Egypt,1897.401214196555,Africa,2021-06
,EG,Bir Tawil,1900.549852041706,Africa,2021-06
,SU,Halaib Triangle,1903.482013797883,Africa,2021-06
Erit.,ER,Eritrea,1900.086140377969,Africa,2021-06
Eth.,ET,Ethiopia,1878.2499480234087,Africa,2021-06
Dji.,DJ,Djibouti,1893.1814484967408,Africa,2021-06
Som.,SO,Somalia,1887.3091729839068,Africa,2021-06
S. Sudan,OD,South Sudan,1868.5325176302388,Africa,2021-06
,UU,Abyei Area,1881.0393692037503,Africa,2021-06
,KE,Kenya,1867.0780198091722,Africa,2021-06
Ug.,UG,Uganda,1861.4271760754289,Africa,2021-06
Tanz.,TZ,Tanzania,1852.0139495527212,Africa,2021-06
Moz.,MZ,Mozambique,1837.6436008265146,Africa,2021-06
Como.,CN,Comoros,,Africa,2021-06
Madag.,MA,Madagascar,1846.882259105815,Africa,2021-06
C. Ver.,CV,Cabo Verde,,Africa,2021-06
W. Sah.,WI,Western Sahara,1911.0356879819024,Africa,2021-06
Maur.,MR,Mauritania,1913.6282113115406,Africa,2021-06
Mor.,MO,Morocco,1894.6739054170316,Africa,2021-06
Sp.,SP,Spain (Canary Is),,Africa,2021-06
Port.,PO,Portugal (Madeira Is),,Africa,2021-06
Sp.,SP,Spain (Africa),,Africa,2021-06
Alg.,AG,Algeria,1897.3565790173013,Africa,2021-06
,ML,Mali,1905.6897996915925,Africa,2021-06
Burk.,UV,Burkina Faso,1897.4991790434672,Africa,2021-06
,TO,Togo,1895.254394381197,Africa,2021-06
,GH,Ghana,1892.7958494624115,Africa,2021-06
C. d Iv.,IV,Cote d'Ivoire,1877.8751823431178,Africa,2021-06
Gui.,GV,Guinea,1870.1919606245656,Africa,2021-06
Sen.,SG,Senegal,1890.5482825100498,Africa,2021-06
Gam.,GA,"Gambia, The",1883.9952021835113,Africa,2021-06
Gui.-Bis.,PU,Guinea-Bissau,1878.181165639495,Africa,2021-06
S. Leo.,SL,Sierra Leone,1857.5902102046357,Africa,2021-06
Liber.,LI,Liberia,,Africa,2021-06
,BN,Benin,1894.7513358929423,Africa,2021-06
Nig.,NI,Nigeria,1900.9657139961819,Africa,2021-06
Camer.,CM,Cameroon,1886.6352348453313,Africa,2021-06
Equa. Gui.,EK,Equatorial Guinea,,Africa,2021-06
S. To. & Prin.,TP,Sao Tome & Principe,,Africa,2021-06
,GB,Gabon,1844.5459063250476,Africa,2021-06
Rep. of the Congo,CF,Rep of the Congo,1853.7860474956,Africa,2021-06
Cen. Afr. Rep.,CT,Central African Rep,1857.4625806652214,Africa,2021-06
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,1845.660639375264,Africa,2021-06
,CD,Chad,1899.7745832946007,Africa,2021-07
Mal.,MI,Malawi,1853.0417051536392,Africa,2021-07
Zam.,ZA,Zambia,1841.6294568236412,Africa,2021-07
Zimb.,ZI,Zimbabwe,1844.2365570744555,Africa,2021-07
Bots.,BC,Botswana,1839.9505451782907,Africa,2021-07
Nam.,WA,Namibia,1848.8609355057422,Africa,2021-07
Ang.,AO,Angola,1844.2062492671275,Africa,2021-07
Buru.,BY,Burundi,1851.2212373501982,Africa,2021-07
Rw.,RW,Rwanda,1865.8084602640288,Africa,2021-07
S. Afr.,SF,South Africa,1832.2732714955705,Africa,2021-07
Leso.,LT,Lesotho,1832.2759210986596,Africa,2021-07
Swaz.,WZ,Swaziland,1830.9417094157982,Africa,2021-07
May.,MF,Mayotte,,Africa,2021-07
,NG,Niger,1904.0810300447079,Africa,2021-07
,SU,Sudan,1909.5466468778511,Africa,2021-07
,LY,Libya,1900.7529794192862,Africa,2021-07
,UU,Koualou Area,,Africa,2021-07
Tun.,TS,Tunisia,1901.2910161206828,Africa,2021-07
,EG,Egypt,1905.4406019903918,Africa,2021-07
,EG,Bir Tawil,1922.5050778352897,Africa,2021-07
,SU,Halaib Triangle,1919.5520100579176,Africa,2021-07
Erit.,ER,Eritrea,1895.4356549163422,Africa,2021-07
Eth.,ET,Ethiopia,1866.048939013053,Africa,2021-07
Dji.,DJ,Djibouti,1899.5674090399039,Africa,2021-07
Som.,SO,Somalia,1886.5527676161068,Africa,2021-07
S. Sudan,OD,South Sudan,1848.4747826793448,Africa,2021-07
,UU,Abyei Area,1846.7562966410735,Africa,2021-07
,KE,Kenya,1857.1562134105984,Africa,2021-07
Ug.,UG,Uganda,1857.0580020556777,Africa,2021-07
Tanz.,TZ,Tanzania,1852.6810200188772,Africa,2021-07
Moz.,MZ,Mozambique,1838.8994949500322,Africa,2021-07
Como.,CN,Comoros,,Africa,2021-07
Madag.,MA,Madagascar,1845.6588146994577,Africa,2021-07
C. Ver.,CV,Cabo Verde,,Africa,2021-07
W. Sah.,WI,Western Sahara,1913.3229473203173,Africa,2021-07
Maur.,MR,Mauritania,1914.4796937562742,Africa,2021-07
Mor.,MO,Morocco,1892.8205386799261,Africa,2021-07
Sp.,SP,Spain (Canary Is),1887.1273809095865,Africa,2021-07
Port.,PO,Portugal (Madeira Is),,Africa,2021-07
Sp.,SP,Spain (Africa),,Africa,2021-07
Alg.,AG,Algeria,1904.0470450563535,Africa,2021-07
,ML,Mali,1907.1155020059502,Africa,2021-07
Burk.,UV,Burkina Faso,1891.7759316820357,Africa,2021-07
,TO,Togo,1848.3220472417506,Africa,2021-07
,GH,Ghana,1863.0496072865506,Africa,2021-07
C. d Iv.,IV,Cote d'Ivoire,1862.8416426849803,Africa,2021-07
Gui.,GV,Guinea,1865.4392765179573,Africa,2021-07
Sen.,SG,Senegal,1894.0874937317485,Africa,2021-07
Gam.,GA,"Gambia, The",1892.1885968675415,Africa,2021-07
Gui.-Bis.,PU,Guinea-Bissau,1846.5867804508002,Africa,2021-07
S. Leo.,SL,Sierra Leone,1854.8999884863726,Africa,2021-07
Liber.,LI,Liberia,1810.5200227018936,Africa,2021-07
,BN,Benin,1857.9138839634784,Africa,2021-07
Nig.,NI,Nigeria,1896.2834784440065,Africa,2021-07
Camer.,CM,Cameroon,1873.1554880831043,Africa,2021-07
Equa. Gui.,EK,Equatorial Guinea,1752.0189208885881,Africa,2021-07
S. To. & Prin.,TP,Sao Tome & Principe,,Africa,2021-07
,GB,Gabon,1792.0401080320983,Africa,2021-07
Rep. of the Congo,CF,Rep of the Congo,1821.5694922856558,Africa,2021-07
Cen. Afr. Rep.,CT,Central African Rep,1835.0509934221732,Africa,2021-07
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,1838.6774877826217,Africa,2021-07
