abbreviati,country_co,country_na,mean,wld_rgn,month
Gam.,GA,"Gambia, The",5.1563746776996375e-05,Africa,2018-10
Gui.-Bis.,PU,Guinea-Bissau,4.851296513927536e-05,Africa,2018-10
S. Leo.,SL,Sierra Leone,4.5156408317443305e-05,Africa,2018-10
Liber.,LI,Liberia,4.458757776242944e-05,Africa,2018-10
,BN,Benin,5.028989241587397e-05,Africa,2018-10
Nig.,NI,Nigeria,5.55331759332011e-05,Africa,2018-10
Camer.,CM,Cameroon,4.868106791233165e-05,Africa,2018-10
Equa. Gui.,EK,Equatorial Guinea,4.686621381905526e-05,Africa,2018-10
S. To. & Prin.,TP,Sao Tome & Principe,4.414624311257132e-05,Africa,2018-10
,GB,Gabon,4.7729241653471745e-05,Africa,2018-10
Rep. of the Congo,CF,Rep of the Congo,4.9395628564388456e-05,Africa,2018-10
Cen. Afr. Rep.,CT,Central African Rep,4.9389824486045176e-05,Africa,2018-10
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,5.099666818722816e-05,Africa,2018-10
,CD,Chad,5.202384500028492e-05,Africa,2018-11
Mal.,MI,Malawi,5.395380807539903e-05,Africa,2018-11
Zam.,ZA,Zambia,5.161191005390055e-05,Africa,2018-11
Zimb.,ZI,Zimbabwe,5.704006254276962e-05,Africa,2018-11
Bots.,BC,Botswana,6.154851471395532e-05,Africa,2018-11
Nam.,WA,Namibia,5.720133317571745e-05,Africa,2018-11
Ang.,AO,Angola,4.84746530661353e-05,Africa,2018-11
Buru.,BY,Burundi,4.581508919940922e-05,Africa,2018-11
Rw.,RW,Rwanda,4.6127182186215936e-05,Africa,2018-11
S. Afr.,SF,South Africa,7.100960972577501e-05,Africa,2018-11
Leso.,LT,Lesotho,6.351872047572136e-05,Africa,2018-11
Swaz.,WZ,Swaziland,7.224064994080122e-05,Africa,2018-11
May.,MF,Mayotte,4.9848100066158946e-05,Africa,2018-11
,NG,Niger,4.4959669276536285e-05,Africa,2018-11
,SU,Sudan,4.9779594985458294e-05,Africa,2018-11
,LY,Libya,4.9202991252978924e-05,Africa,2018-11
,UU,Koualou Area,7.979356055294435e-05,Africa,2018-11
Tun.,TS,Tunisia,5.750635008627363e-05,Africa,2018-11
,EG,Egypt,5.8263550654492606e-05,Africa,2018-11
,EG,Bir Tawil,4.71175728355278e-05,Africa,2018-11
,SU,Halaib Triangle,4.669862270506759e-05,Africa,2018-11
Erit.,ER,Eritrea,4.753962492932156e-05,Africa,2018-11
Eth.,ET,Ethiopia,4.712572944852429e-05,Africa,2018-11
Dji.,DJ,Djibouti,4.791767935603972e-05,Africa,2018-11
Som.,SO,Somalia,4.337000489067368e-05,Africa,2018-11
S. Sudan,OD,South Sudan,7.100863807188174e-05,Africa,2018-11
,UU,Abyei Area,7.224832394222746e-05,Africa,2018-11
,KE,Kenya,4.541806329997541e-05,Africa,2018-11
Ug.,UG,Uganda,5.2173141778922536e-05,Africa,2018-11
Tanz.,TZ,Tanzania,4.875044864160739e-05,Africa,2018-11
Moz.,MZ,Mozambique,5.5888112126345824e-05,Africa,2018-11
Como.,CN,Comoros,4.8341687124253956e-05,Africa,2018-11
