abbreviati,country_co,country_na,mean,wld_rgn,month
C. d Iv.,IV,Cote d'Ivoire,0.000214007920860701,Africa,2019-02
Gui.,GV,Guinea,0.0002485407780187897,Africa,2019-02
Sen.,SG,Senegal,0.00013613312940137374,Africa,2019-02
Gam.,GA,"Gambia, The",0.00016321553898207086,Africa,2019-02
Gui.-Bis.,PU,Guinea-Bissau,0.00022865925839503378,Africa,2019-02
S. Leo.,SL,Sierra Leone,0.00028654948106597583,Africa,2019-02
Liber.,LI,Liberia,0.00020527629378098376,Africa,2019-02
,BN,Benin,0.0002090516167726673,Africa,2019-02
Nig.,NI,Nigeria,0.00020267936000457304,Africa,2019-02
Camer.,CM,Cameroon,0.0002353564826554698,Africa,2019-02
Equa. Gui.,EK,Equatorial Guinea,0.00018501973684381597,Africa,2019-02
S. To. & Prin.,TP,Sao Tome & Principe,0.00013903813813178275,Africa,2019-02
,GB,Gabon,0.00018369700620976095,Africa,2019-02
Rep. of the Congo,CF,Rep of the Congo,0.00021684817085788807,Africa,2019-02
Cen. Afr. Rep.,CT,Central African Rep,0.00025410318060866067,Africa,2019-02
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,0.00019914513178561488,Africa,2019-02
,CD,Chad,0.00010998237599501873,Africa,2019-03
Mal.,MI,Malawi,0.00012680320565064068,Africa,2019-03
Zam.,ZA,Zambia,0.00013560390592752078,Africa,2019-03
Zimb.,ZI,Zimbabwe,0.00012759018249670337,Africa,2019-03
Bots.,BC,Botswana,0.0001606758766156536,Africa,2019-03
Nam.,WA,Namibia,0.00014422755007891146,Africa,2019-03
Ang.,AO,Angola,0.00016727385183833718,Africa,2019-03
Buru.,BY,Burundi,0.00013161126835536667,Africa,2019-03
Rw.,RW,Rwanda,0.00013174800628234682,Africa,2019-03
S. Afr.,SF,South Africa,0.0001197352840475514,Africa,2019-03
Leso.,LT,Lesotho,0.00010132656726355643,Africa,2019-03
Swaz.,WZ,Swaziland,0.00013217178271789407,Africa,2019-03
May.,MF,Mayotte,9.254970182472737e-05,Africa,2019-03
,NG,Niger,8.937238094231319e-05,Africa,2019-03
,SU,Sudan,9.242300271277344e-05,Africa,2019-03
,LY,Libya,4.74461695714721e-05,Africa,2019-03
,UU,Koualou Area,0.0001952961574077324,Africa,2019-03
Tun.,TS,Tunisia,5.6435185664563196e-05,Africa,2019-03
,EG,Egypt,5.549540350788893e-05,Africa,2019-03
,EG,Bir Tawil,5.711024824367844e-05,Africa,2019-03
,SU,Halaib Triangle,5.720866810171728e-05,Africa,2019-03
Erit.,ER,Eritrea,0.00010851237871776552,Africa,2019-03
Eth.,ET,Ethiopia,0.0001335755903672498,Africa,2019-03
