country_co,country_na,mean,month
TZ,Tanzania,3.71744696867715e-05,2019-02
MZ,Mozambique,4.224547226865549e-05,2019-02
CN,Comoros,3.675076128570324e-05,2019-02
MA,Madagascar,4.275139424293492e-05,2019-02
CV,Cabo Verde,4.585313127264241e-05,2019-02
WI,Western Sahara,5.214964399669441e-05,2019-02
MR,Mauritania,4.962356847864432e-05,2019-02
MO,Morocco,5.759861337762967e-05,2019-02
SP,Spain (Canary Is),6.294028702630031e-05,2019-02
PO,Portugal (Madeira Is),5.6813740044416494e-05,2019-02
SP,Spain (Africa),7.920494622895204e-05,2019-02
AG,Algeria,5.579705216924014e-05,2019-02
ML,Mali,4.879484551548182e-05,2019-02
UV,Burkina Faso,4.87331698004512e-05,2019-02
TO,Togo,5.938516231251108e-05,2019-02
GH,Ghana,5.58934049728847e-05,2019-02
IV,Cote d'Ivoire,4.8324721585992605e-05,2019-02
GV,Guinea,5.8238457376961616e-05,2019-02
SG,Senegal,5.315850760062768e-05,2019-02
GA,"Gambia, The",5.548191089824524e-05,2019-02
PU,Guinea-Bissau,6.136219731608517e-05,2019-02
SL,Sierra Leone,5.583494207912038e-05,2019-02
LI,Liberia,4.4981530201505945e-05,2019-02
BN,Benin,5.846013607999438e-05,2019-02
NI,Nigeria,5.969484387481517e-05,2019-02
CM,Cameroon,5.383354990891022e-05,2019-02
EK,Equatorial Guinea,4.58173201587069e-05,2019-02
TP,Sao Tome & Principe,4.273205700229368e-05,2019-02
GB,Gabon,4.538562344370161e-05,2019-02
CF,Rep of the Congo,4.651853219902373e-05,2019-02
CT,Central African Rep,6.155431803518169e-05,2019-02
CG,Dem Rep of the Congo,4.3000230167985056e-05,2019-02
CD,Chad,4.990667472728173e-05,2019-03
MI,Malawi,4.076322550751184e-05,2019-03
ZA,Zambia,4.233499682624147e-05,2019-03
ZI,Zimbabwe,4.695359199789018e-05,2019-03
BC,Botswana,5.106100092110503e-05,2019-03
WA,Namibia,4.790972499557516e-05,2019-03
AO,Angola,4.316592401669443e-05,2019-03
BY,Burundi,3.631624671311464e-05,2019-03
RW,Rwanda,3.644320218159273e-05,2019-03
SF,South Africa,6.189254828640064e-05,2019-03
LT,Lesotho,5.621219238083559e-05,2019-03
WZ,Swaziland,6.331429549379969e-05,2019-03
MF,Mayotte,3.894561316694336e-05,2019-03
NG,Niger,4.9104304272864015e-05,2019-03
SU,Sudan,5.003893650355672e-05,2019-03
LY,Libya,5.721441077223004e-05,2019-03
UU,Koualou Area,5.4793626657608185e-05,2019-03
TS,Tunisia,6.544429066470394e-05,2019-03
EG,Egypt,6.137619138678233e-05,2019-03
EG,Bir Tawil,5.1965186318270926e-05,2019-03
SU,Halaib Triangle,5.16870501769812e-05,2019-03
ER,Eritrea,5.154208196978482e-05,2019-03
ET,Ethiopia,4.813809514691832e-05,2019-03
DJ,Djibouti,4.824387379741492e-05,2019-03
SO,Somalia,4.019111408707925e-05,2019-03
OD,South Sudan,5.0454201506485294e-05,2019-03
UU,Abyei Area,5.304297626228123e-05,2019-03
KE,Kenya,3.886805509187393e-05,2019-03
UG,Uganda,4.219986310018158e-05,2019-03
TZ,Tanzania,3.8365948337485e-05,2019-03
MZ,Mozambique,4.228820736541827e-05,2019-03
CN,Comoros,3.834179804378012e-05,2019-03
MA,Madagascar,4.322977543163913e-05,2019-03
CV,Cabo Verde,4.8173057380168726e-05,2019-03
WI,Western Sahara,5.8127548969579526e-05,2019-03
MR,Mauritania,5.378171644917412e-05,2019-03
MO,Morocco,6.391994199673499e-05,2019-03
SP,Spain (Canary Is),6.59902516972319e-05,2019-03
PO,Portugal (Madeira Is),6.315226251672175e-05,2019-03
SP,Spain (Africa),8.344151505595085e-05,2019-03
AG,Algeria,6.047563843035803e-05,2019-03
ML,Mali,5.1690358356222505e-05,2019-03
UV,Burkina Faso,5.1058128097948594e-05,2019-03
TO,Togo,5.6442784666065406e-05,2019-03
GH,Ghana,5.381185739773952e-05,2019-03
IV,Cote d'Ivoire,4.948039167334489e-05,2019-03
GV,Guinea,5.603147581546348e-05,2019-03
SG,Senegal,5.27808499940515e-05,2019-03
GA,"Gambia, The",5.452387132484259e-05,2019-03
PU,Guinea-Bissau,5.790884686874213e-05,2019-03
SL,Sierra Leone,6.430772572019658e-05,2019-03
LI,Liberia,5.101667429815008e-05,2019-03
BN,Benin,5.756962752088265e-05,2019-03
NI,Nigeria,5.96176290857513e-05,2019-03
CM,Cameroon,4.955519926819777e-05,2019-03
EK,Equatorial Guinea,4.360253391604511e-05,2019-03
